code,gu,dong,disable,fire,bank,seniorcenter,movingin,movingout,older,older2013
종로구사직동,종로구,사직동,358,16,24,2,1811,1979,378,341
종로구삼청동,종로구,삼청동,134,8,3,2,452,548,175,149
종로구부암동,종로구,부암동,367,11,2,4,1714,1827,314,293
종로구평창동,종로구,평창동,611,22,5,5,2535,2685,486,348
종로구무악동,종로구,무악동,326,4,1,4,1206,1254,238,246
종로구교남동,종로구,교남동,426,7,2,2,1326,2189,386,226
종로구가회동,종로구,가회동,204,1,6,4,780,926,205,182
종로구종로1.2.3.4가동,종로구,종로1.2.3.4가동,436,61,61,4,1732,1677,757,953
종로구종로5·6가동,종로구,종로5·6가동,310,25,14,4,1038,1055,331,280
종로구이화동,종로구,이화동,346,11,6,6,1632,1877,286,317
종로구창신1동,종로구,창신1동,350,13,5,3,948,1202,376,409
종로구창신2동,종로구,창신2동,588,10,2,3,1161,1567,394,370
종로구창신3동,종로구,창신3동,366,3,0,4,1022,1229,198,174
종로구숭인1동,종로구,숭인1동,314,6,1,2,1162,1367,255,253
종로구숭인2동,종로구,숭인2동,508,11,5,5,1633,1708,501,455
종로구청운효자동,종로구,청운효자동,630,8,4,2,2248,2444,455,431
종로구혜화동,종로구,혜화동,631,28,6,5,3601,3864,519,418
중구소공동,중구,소공동,47,16,49,1,422,380,171,45
중구회현동,중구,회현동,391,18,25,3,1235,996,212,431
중구명동,중구,명동,142,31,79,1,572,603,323,177
중구필동,중구,필동,196,7,8,1,845,893,54,214
중구장충동,중구,장충동,228,9,4,2,1154,1189,190,190
중구광희동,중구,광희동,272,16,18,3,1002,1094,468,321
중구을지로동,중구,을지로동,118,26,15,1,387,440,448,215
중구신당1동,중구,신당1동,427,28,7,3,1279,1616,402,#N/A
중구신당2동,중구,신당2동,733,10,4,4,2552,2836,210,#N/A
중구신당3동,중구,신당3동,955,9,3,6,2845,3066,362,#N/A
중구신당4동,중구,신당4동,684,3,1,5,2234,2430,478,#N/A
중구신당5동,중구,신당5동,511,5,3,9,2614,1636,665,360
중구신당6동,중구,신당6동,448,3,2,6,3385,1664,506,#N/A
중구황학동,중구,황학동,587,8,6,4,2002,2311,365,472
중구중림동,중구,중림동,557,7,2,4,2344,4044,244,431
용산구후암동,용산구,후암동,934,5,2,6,2763,3072,728,753
용산구용산2가동,용산구,용산2가동,581,9,2,5,1509,1917,476,494
용산구남영동,용산구,남영동,571,12,10,7,1675,1706,577,608
용산구원효로2동,용산구,원효로2동,548,4,4,8,2090,2274,705,376
용산구효창동,용산구,효창동,409,5,1,5,1842,1967,346,268
용산구용문동,용산구,용문동,482,7,0,6,1871,2307,371,312
용산구이촌1동,용산구,이촌1동,552,5,17,9,3279,3634,258,598
용산구이촌2동,용산구,이촌2동,410,4,0,7,968,1204,297,373
용산구이태원1동,용산구,이태원1동,306,14,9,6,1413,1552,660,336
용산구이태원2동,용산구,이태원2동,451,7,4,5,1529,1788,583,439
용산구서빙고동,용산구,서빙고동,422,6,2,5,2180,2371,366,447
용산구보광동,용산구,보광동,730,8,2,10,2580,2945,327,651
용산구청파동,용산구,청파동,926,11,4,6,3872,4599,434,734
용산구원효로1동,용산구,원효로1동,463,16,3,6,2479,2577,762,334
용산구한강로동,용산구,한강로동,642,21,26,9,2822,2990,430,702
용산구한남동,용산구,한남동,798,16,12,10,3830,4345,614,762
성동구왕십리2동,성동구,왕십리2동,728,4,1,15,2550,2881,384,394
성동구마장동,성동구,마장동,1196,24,5,15,3323,3669,606,605
성동구사근동,성동구,사근동,471,8,2,6,2084,2252,228,250
성동구행당1동,성동구,행당1동,723,16,9,6,2578,2723,505,496
성동구행당2동,성동구,행당2동,937,1,3,12,3241,3534,434,456
성동구응봉동,성동구,응봉동,573,6,1,9,2521,2674,323,336
성동구금호1가동,성동구,금호1가동,746,11,1,7,2265,2467,424,416
성동구금호4가동,성동구,금호4가동,554,3,4,7,3290,3552,357,378
성동구성수1가1동,성동구,성수1가1동,695,15,3,12,2633,2952,364,371
성동구성수1가2동,성동구,성수1가2동,682,8,3,8,2897,3207,387,403
성동구성수2가1동,성동구,성수2가1동,894,21,3,7,2679,3152,519,557
성동구성수2가3동,성동구,성수2가3동,467,35,14,10,2081,2034,268,267
성동구송정동,성동구,송정동,559,9,0,4,1681,1873,325,345
성동구용답동,성동구,용답동,837,16,3,5,2183,2490,482,523
성동구왕십리도선동,성동구,왕십리도선동,638,3,4,7,1978,1968,435,451
성동구금호2.3가동,성동구,금호2.3가동,919,9,3,10,6777,3882,543,678
성동구옥수동,성동구,옥수동,637,8,3,15,3249,5300,511,529
광진구화양동,광진구,화양동,687,30,10,3,5135,5151,443,454
광진구군자동,광진구,군자동,828,16,4,5,3625,3772,484,496
광진구중곡1동,광진구,중곡1동,695,11,4,2,2771,2954,365,392
광진구중곡2동,광진구,중곡2동,895,15,4,3,3631,3702,405,437
광진구중곡3동,광진구,중곡3동,807,11,1,3,2829,3229,401,440
광진구중곡4동,광진구,중곡4동,1319,13,2,4,4616,4662,652,690
광진구능동,광진구,능동,405,6,0,1,2258,2322,242,239
광진구구의1동,광진구,구의1동,827,12,5,4,4158,4479,497,525
광진구구의2동,광진구,구의2동,1181,13,3,5,4101,3749,559,604
광진구구의3동,광진구,구의3동,824,16,10,10,4437,5037,473,481
광진구광장동,광진구,광장동,771,5,10,21,5733,4377,457,434
광진구자양1동,광진구,자양1동,941,18,3,4,3831,4409,620,527
광진구자양2동,광진구,자양2동,1037,15,3,11,3833,4394,470,507
광진구자양3동,광진구,자양3동,859,9,7,18,4342,4714,477,506
광진구자양4동,광진구,자양4동,1111,27,2,9,3388,4243,714,774
동대문구회기동,동대문구,회기동,381,10,6,4,2317,2407,184,193
동대문구휘경1동,동대문구,휘경1동,746,10,2,6,2982,3468,463,467
동대문구휘경2동,동대문구,휘경2동,852,11,2,11,4727,3845,391,495
동대문구청량리동,동대문구,청량리동,1423,14,7,12,2996,3143,1177,1197
동대문구용신동,동대문구,용신동,1617,22,11,10,4826,5186,873,685
동대문구제기동,동대문구,제기동,1401,16,9,10,4192,4438,1199,1270
동대문구전농1동,동대문구,전농1동,1579,16,3,7,3274,3783,1290,979
동대문구전농2동,동대문구,전농2동,946,6,4,12,2587,2685,428,410
동대문구답십리1동,동대문구,답십리1동,958,13,8,10,2883,3382,590,612
동대문구답십리2동,동대문구,답십리2동,1564,10,1,20,3345,3964,817,821
동대문구장안1동,동대문구,장안1동,1516,25,12,12,5177,5206,774,788
동대문구장안2동,동대문구,장안2동,1297,10,3,12,4374,4601,399,693
동대문구이문1동,동대문구,이문1동,1321,18,4,10,5069,5712,880,1002
동대문구이문2동,동대문구,이문2동,983,7,0,10,2894,3095,341,519
중랑구면목2동,중랑구,면목2동,1326,10,1,6,3750,4337,717,780
중랑구면목4동,중랑구,면목4동,1388,12,0,7,3289,4223,692,683
중랑구면목5동,중랑구,면목5동,715,7,2,3,2078,2277,363,390
중랑구면목7동,중랑구,면목7동,1102,9,3,11,3486,4042,605,641
중랑구상봉1동,중랑구,상봉1동,1430,10,1,11,3180,3587,500,526
중랑구상봉2동,중랑구,상봉2동,913,11,4,4,3463,3671,601,629
중랑구중화1동,중랑구,중화1동,913,8,1,3,3099,3426,429,461
중랑구중화2동,중랑구,중화2동,1651,19,4,5,4019,4788,1121,1161
중랑구묵1동,중랑구,묵1동,1419,13,4,13,5354,5351,643,671
중랑구묵2동,중랑구,묵2동,955,7,3,7,3149,3262,551,581
중랑구망우3동,중랑구,망우3동,925,16,1,2,2976,3351,527,552
중랑구신내1동,중랑구,신내1동,1384,10,2,19,3845,4216,438,481
중랑구신내2동,중랑구,신내2동,1465,7,3,9,2956,3465,546,595
중랑구면목본동,중랑구,면목본동,1794,17,3,7,5516,6011,935,1031
중랑구면목3.8동,중랑구,면목3.8동,1357,18,1,9,4459,4999,821,870
중랑구망우본동,중랑구,망우본동,1826,26,5,12,5538,5103,1099,997
성북구돈암1동,성북구,돈암1동,629,4,1,7,2112,2314,390,418
성북구돈암2동,성북구,돈암2동,654,1,4,8,2691,3558,356,385
성북구안암동,성북구,안암동,681,12,8,6,3421,3570,427,461
성북구보문동,성북구,보문동,623,14,4,6,2386,2890,454,470
성북구정릉1동,성북구,정릉1동,744,5,1,10,2864,3231,430,461
성북구정릉2동,성북구,정릉2동,940,7,4,12,3433,3744,603,631
성북구정릉3동,성북구,정릉3동,844,11,1,4,2492,2884,725,760
성북구정릉4동,성북구,정릉4동,1022,17,4,14,3773,4031,696,740
성북구길음1동,성북구,길음1동,1104,10,8,14,5325,5770,480,513
성북구길음2동,성북구,길음2동,994,12,3,5,3279,2867,700,745
성북구월곡1동,성북구,월곡1동,1295,11,6,9,3628,3809,690,722
성북구월곡2동,성북구,월곡2동,987,14,5,9,3233,3362,500,535
성북구장위1동,성북구,장위1동,1175,16,2,3,3019,3745,634,667
성북구장위2동,성북구,장위2동,1036,8,3,2,2768,3303,632,666
성북구장위3동,성북구,장위3동,946,9,2,5,2346,2815,564,580
성북구성북동,성북구,성북동,683,8,4,7,2895,3066,674,690
성북구삼선동,성북구,삼선동,1095,14,9,7,5045,4131,791,841
성북구동선동,성북구,동선동,623,19,3,5,3639,3357,503,525
성북구종암동,성북구,종암동,1639,15,4,18,5320,5678,1079,1159
성북구석관동,성북구,석관동,1793,13,6,7,4260,5055,1071,1137
강북구번1동,강북구,번1동,944,26,4,8,3696,3649,604,716
강북구번2동,강북구,번2동,1355,7,0,9,2281,2659,617,698
강북구번3동,강북구,번3동,2042,10,1,12,2192,2426,607,717
강북구수유1동,강북구,수유1동,1181,19,4,6,3482,3824,762,902
강북구수유2동,강북구,수유2동,1069,8,2,10,3124,3540,676,732
강북구수유3동,강북구,수유3동,1143,18,8,4,4398,4515,767,908
강북구삼양동,강북구,삼양동,1641,20,0,15,4710,5255,990,1198
강북구미아동,강북구,미아동,1118,16,4,8,3802,4191,739,904
강북구송중동,강북구,송중동,1598,17,2,7,4263,5809,941,1125
강북구송천동,강북구,송천동,1662,15,6,10,4522,5109,1184,1315
강북구삼각산동,강북구,삼각산동,1237,3,4,6,6399,4600,505,668
강북구우이동,강북구,우이동,982,20,1,7,2991,3055,671,833
강북구인수동,강북구,인수동,1669,22,1,9,4557,4623,1100,1265
도봉구쌍문1동,도봉구,쌍문1동,1009,13,2,12,2932,3305,261,681
도봉구쌍문2동,도봉구,쌍문2동,952,19,1,8,3027,3321,421,629
도봉구쌍문3동,도봉구,쌍문3동,795,14,1,5,2674,2862,464,496
도봉구쌍문4동,도봉구,쌍문4동,637,4,2,11,3015,3222,375,372
도봉구방학1동,도봉구,방학1동,1407,16,8,11,4772,4812,302,771
도봉구방학2동,도봉구,방학2동,1120,14,0,5,3427,3861,712,782
도봉구방학3동,도봉구,방학3동,1023,6,4,18,3613,4088,438,638
도봉구창1동,도봉구,창1동,1064,11,5,8,3523,3947,638,699
도봉구창2동,도봉구,창2동,1205,13,1,8,4274,4570,592,624
도봉구창3동,도봉구,창3동,713,10,0,6,2398,2507,425,486
도봉구창4동,도봉구,창4동,1007,10,4,9,3513,4071,479,586
도봉구창5동,도봉구,창5동,993,7,5,14,3566,3924,308,501
도봉구도봉1동,도봉구,도봉1동,1535,12,2,10,3240,3680,727,937
도봉구도봉2동,도봉구,도봉2동,1512,14,3,14,4275,4717,530,819
노원구월계1동,노원구,월계1동,1001,17,3,14,3011,3936,626,633
노원구월계2동,노원구,월계2동,2216,9,1,16,3045,3717,1109,1150
노원구월계3동,노원구,월계3동,1987,6,3,12,3999,4839,825,974
노원구공릉2동,노원구,공릉2동,1564,20,8,19,7161,6986,686,786
노원구하계1동,노원구,하계1동,2142,7,3,26,3772,4022,869,932
노원구하계2동,노원구,하계2동,1084,7,1,14,2901,3223,502,506
노원구중계본동,노원구,중계본동,994,12,3,6,3204,3638,495,512
노원구중계1동,노원구,중계1동,840,11,6,18,3800,4083,401,388
노원구중계4동,노원구,중계4동,1343,15,3,14,2896,3215,614,679
노원구상계1동,노원구,상계1동,1954,15,2,10,5165,5602,1647,876
노원구상계2동,노원구,상계2동,913,13,2,14,3344,3834,483,525
노원구상계5동,노원구,상계5동,1106,21,2,28,3524,3832,631,717
노원구상계8동,노원구,상계8동,804,10,3,14,4128,4664,396,416
노원구상계9동,노원구,상계9동,777,9,4,16,3239,3786,482,524
노원구상계10동,노원구,상계10동,592,4,2,8,3102,3487,393,439
노원구상계3.4동,노원구,상계3.4동,2180,19,1,9,4016,5010,1450,1658
노원구상계6.7동,노원구,상계6.7동,1261,13,15,5,5015,5641,884,954
노원구중계2.3동,노원구,중계2.3동,3310,11,3,4,4585,5183,1256,1449
노원구공릉1동,노원구,공릉1동,2231,15,7,5,5497,6018,930,989
은평구녹번동,은평구,녹번동,1404,19,2,8,4842,5666,1093,1209
은평구불광1동,은평구,불광1동,1583,14,5,8,6067,6230,1108,1245
은평구갈현1동,은평구,갈현1동,1104,12,4,8,3903,4347,755,815
은평구갈현2동,은평구,갈현2동,1055,16,3,8,4827,4521,596,682
은평구구산동,은평구,구산동,2409,17,0,8,5128,5016,677,749
은평구대조동,은평구,대조동,1332,14,7,8,5345,5215,949,1022
은평구응암1동,은평구,응암1동,1350,11,7,8,4972,5363,861,919
은평구응암2동,은평구,응암2동,1088,11,1,8,9667,3371,725,830
은평구신사1동,은평구,신사1동,1161,12,2,8,4599,4664,544,582
은평구신사2동,은평구,신사2동,954,13,0,8,3167,3704,536,606
은평구증산동,은평구,증산동,886,6,1,8,2846,3294,515,515
은평구수색동,은평구,수색동,1011,13,3,8,2246,2898,697,711
은평구진관동,은평구,진관동,1819,15,9,8,8738,5791,576,594
은평구불광2동,은평구,불광2동,1461,13,2,8,4206,4671,1102,1199
은평구응암3동,은평구,응암3동,1270,15,4,8,4588,4713,935,1009
은평구역촌동,은평구,역촌동,2018,19,4,8,7750,7744,1047,1147
서대문구천연동,서대문구,천연동,850,3,1,13,3072,3272,297,820
서대문구홍제1동,서대문구,홍제1동,1072,10,3,8,3732,4307,781,862
서대문구홍제3동,서대문구,홍제3동,952,8,3,9,2474,2982,331,736
서대문구홍제2동,서대문구,홍제2동,626,3,3,8,2045,2499,366,425
서대문구홍은1동,서대문구,홍은1동,1182,14,1,10,2922,3145,1212,848
서대문구홍은2동,서대문구,홍은2동,1263,11,4,7,4226,4787,867,777
서대문구남가좌1동,서대문구,남가좌1동,166,3,4,1,522,867,356,164
서대문구남가좌2동,서대문구,남가좌2동,1460,7,5,11,4046,4760,709,951
서대문구북가좌1동,서대문구,북가좌1동,559,3,0,5,7971,1501,847,341
서대문구북가좌2동,서대문구,북가좌2동,1448,12,4,7,4549,5366,720,932
서대문구충현동,서대문구,충현동,786,16,11,4,2749,4054,173,727
서대문구북아현동,서대문구,북아현동,461,3,2,5,1495,2060,942,352
서대문구신촌동,서대문구,신촌동,549,43,15,5,4902,4894,330,510
서대문구연희동,서대문구,연희동,1527,37,10,10,5980,6756,869,1197
마포구용강동,마포구,용강동,549,9,11,8,2752,3325,419,476
마포구대흥동,마포구,대흥동,595,10,4,8,2912,3160,561,711
마포구염리동,마포구,염리동,763,9,1,8,2391,3037,562,627
마포구신수동,마포구,신수동,773,5,2,8,3144,4666,495,580
